age,workclass,education_num,marital_status,occupation,relationship,sex,capital_gain,capital_loss,hours_per_week,target
53,2,10,2,2,0,1,0,0,40,0
53,2,9,5,13,4,1,0,0,45,0
38,2,14,2,3,0,1,15024,0,45,1
47,1,14,2,9,0,1,0,0,40,0
34,2,9,2,6,0,1,0,0,48,0
19,2,10,4,11,3,0,0,0,7,0
43,2,13,2,0,0,1,0,0,40,1
19,2,7,4,5,3,1,0,0,40,0
64,2,14,2,9,0,1,0,2057,60,0
42,2,9,2,0,5,0,0,0,40,0
22,2,9,4,7,3,0,0,0,35,0
41,2,9,0,6,1,0,0,0,45,0
38,2,10,2,11,0,1,0,0,40,0
37,2,14,4,9,4,0,0,0,40,0
33,4,10,2,2,0,1,2829,0,40,0
50,3,13,6,11,4,1,0,0,65,1
35,2,4,4,6,3,0,0,0,30,0
30,2,9,2,2,0,1,0,0,45,1
42,4,16,2,9,0,1,15024,0,40,1
72,0,7,0,0,1,0,0,0,8,0
25,1,9,0,12,4,0,0,0,40,0
40,2,9,2,6,0,1,0,0,40,0
31,2,13,2,3,0,1,0,0,40,1
24,2,13,4,9,3,0,0,0,40,0
40,2,6,5,13,3,1,0,0,35,0
51,1,4,0,7,4,0,0,0,40,0
45,2,4,2,6,0,1,0,0,40,0
36,2,9,2,13,5,0,0,0,40,1
43,1,14,2,3,5,0,0,0,50,1
41,2,13,4,9,1,0,0,0,45,0
37,4,9,2,13,0,1,0,0,75,0
43,4,4,2,4,0,1,4508,0,40,0
44,2,14,2,3,0,1,0,0,40,1
34,2,9,2,2,0,1,0,0,45,0
56,2,9,2,11,0,1,0,1977,40,1
54,4,12,2,11,0,1,0,0,50,1
36,1,14,2,9,5,0,0,0,60,1
18,2,8,4,7,3,1,0,0,27,0
43,0,10,6,3,4,0,0,0,15,0
43,2,9,4,11,1,0,0,0,44,0
24,2,10,4,2,4,1,0,0,40,0
41,2,3,2,4,5,0,0,0,40,0
20,2,10,4,11,1,1,0,0,20,0
31,2,9,0,7,3,0,0,0,15,0
36,2,10,2,2,0,1,0,1887,40,1
39,3,13,2,11,0,1,0,0,50,1
52,2,10,2,3,0,1,0,1977,50,1
55,2,10,0,0,1,0,0,0,40,0
23,2,10,2,3,5,0,0,0,40,0
49,2,9,0,5,1,1,0,0,40,0
21,2,12,2,0,5,0,0,0,46,1
33,2,9,2,6,0,1,0,0,40,1
63,2,8,2,13,0,1,0,0,40,0
50,2,9,2,6,0,1,0,0,40,0
39,2,9,2,13,0,1,0,0,55,0
28,2,10,0,0,4,0,0,0,40,0
19,2,9,4,5,3,1,0,0,35,0
31,2,9,0,3,4,0,0,0,40,0
23,2,9,0,0,1,0,0,0,40,0
49,2,13,2,9,0,1,0,0,40,1
22,2,2,4,2,1,1,0,0,40,0
25,2,13,2,11,0,1,0,0,50,0
37,1,13,2,0,0,1,7298,0,40,1
35,4,9,2,3,0,1,0,0,40,0
20,2,8,4,7,3,1,0,0,35,0
37,1,11,2,3,0,1,0,0,45,0
41,5,10,0,0,1,0,0,0,40,0
34,2,13,2,9,0,1,0,0,55,1
60,1,14,2,3,0,1,0,0,50,1
60,1,10,6,4,1,1,0,0,40,0
20,2,10,4,5,3,0,0,0,8,0
60,2,13,0,3,4,0,0,0,40,1
45,2,9,2,0,0,1,0,0,7,0
28,2,11,4,12,3,0,2174,0,36,0
41,3,10,2,3,0,1,0,0,50,0
24,2,9,4,7,1,1,0,0,35,0
33,1,9,2,10,0,1,0,0,56,0
21,2,9,4,6,3,1,0,0,40,0
40,2,13,2,0,5,0,0,0,40,0
30,0,5,2,12,0,1,0,0,40,0
52,2,10,0,11,1,0,0,0,40,0
35,2,11,2,2,0,1,0,0,40,1
33,1,13,4,9,1,0,0,0,46,0
54,2,9,2,0,0,1,0,0,40,0
43,4,13,0,11,4,1,0,0,45,0
63,4,15,2,9,0,1,0,0,35,1
28,2,10,4,3,1,1,0,0,50,0
50,1,9,2,0,0,1,0,0,40,0
47,2,4,2,2,0,1,0,0,40,0
56,3,9,2,3,2,0,0,0,21,0
38,2,9,2,3,5,0,0,0,55,0
27,2,10,4,0,2,1,0,0,40,0
59,2,11,0,0,1,0,0,0,40,0
35,2,12,4,3,1,0,0,0,60,0
47,2,9,0,0,4,0,0,0,40,0
30,2,10,4,7,3,0,0,0,40,0
33,2,13,4,9,1,1,0,0,50,1
25,2,13,4,9,1,1,0,0,45,0
47,4,3,2,11,0,1,0,2179,50,0
51,2,10,2,3,5,0,0,0,10,1
36,0,14,2,9,0,1,0,0,40,1
42,5,14,4,9,1,1,0,0,45,0
50,1,14,2,9,0,1,7298,0,40,1
44,1,14,0,9,4,0,0,0,38,0
30,2,9,4,0,1,1,0,0,20,0
34,2,9,2,2,0,1,0,0,40,1
58,1,9,2,7,0,1,0,0,40,1
42,2,13,2,3,0,1,0,0,40,0
56,2,13,4,3,1,0,8614,0,55,1
28,2,10,4,0,4,0,0,0,40,0
49,2,9,4,0,4,0,0,0,35,0
39,4,13,2,11,0,1,0,0,60,0
36,1,13,0,0,4,0,0,0,35,0
22,2,9,4,0,3,1,0,0,40,0
61,2,5,0,7,1,1,0,0,40,0
44,2,10,2,3,0,1,0,0,40,0
33,2,9,0,3,4,0,0,0,40,0
18,2,8,4,7,3,1,0,0,10,0
30,2,13,4,9,3,0,0,0,40,0
23,2,13,4,0,3,0,0,0,40,0
48,2,2,2,0,0,1,0,0,52,0
35,2,9,0,2,3,1,0,0,20,0
61,2,4,2,2,0,1,0,0,40,0
37,2,10,2,12,5,0,0,0,35,0
27,2,14,4,3,1,0,0,0,40,0
45,5,13,0,0,1,0,0,0,40,0
56,2,9,0,0,1,0,0,0,40,0
51,3,9,4,3,1,1,10520,0,40,1
43,0,16,5,9,4,0,0,0,24,1
31,2,9,4,2,1,0,0,0,40,0
33,2,13,2,0,5,0,0,0,5,1
47,2,4,3,7,4,0,0,0,30,0
51,2,9,2,12,0,1,7298,0,50,1
28,2,13,2,11,0,1,0,0,40,1
18,2,10,4,7,3,1,0,0,30,0
26,2,10,4,0,1,0,0,0,25,0
22,2,12,2,3,0,1,0,0,6,0
28,3,9,2,11,0,1,99999,0,40,1
28,2,9,2,2,0,1,0,0,40,0
28,2,9,4,2,2,1,0,0,35,0
42,2,11,2,13,0,1,0,0,45,1
49,2,5,5,5,3,1,0,0,38,0
27,2,13,4,9,1,0,0,0,55,0
33,2,10,0,2,2,0,0,0,40,0
45,2,9,2,9,0,1,0,0,45,1
34,4,9,2,13,0,1,3411,0,80,0
28,2,13,2,2,0,1,0,0,40,0
33,2,14,4,3,4,1,0,0,40,0
21,5,12,4,12,3,1,0,0,10,0
25,2,13,4,11,3,1,0,0,50,0
32,5,10,0,10,4,0,0,1726,38,0
18,2,9,4,6,3,1,0,0,40,0
33,2,6,2,2,0,1,0,0,40,0
48,2,9,0,6,1,0,0,0,55,0
21,2,9,4,7,2,1,0,1719,25,0
61,2,11,2,0,0,1,0,0,40,0
34,2,9,0,11,1,1,0,1669,45,0
30,2,16,2,9,0,1,5178,0,75,1
27,2,9,2,2,0,1,0,0,40,0
57,2,4,6,7,4,0,0,0,29,0
35,2,6,0,2,1,1,0,0,60,0
39,2,9,2,7,0,1,0,0,42,0
39,1,13,2,9,5,0,0,0,42,0
42,0,10,4,0,1,0,0,0,40,0
47,1,12,4,3,1,0,0,0,40,0
31,2,9,0,11,1,1,2202,0,40,0
41,2,9,2,6,0,1,0,0,40,0
43,3,10,2,11,0,1,0,0,44,1
46,2,14,2,9,0,1,0,0,35,1
47,2,15,2,9,0,1,0,0,55,1
45,2,12,6,11,4,0,0,0,40,0
35,0,13,6,0,1,1,0,0,40,1
17,2,7,4,4,3,1,0,0,45,0
27,2,9,2,0,0,1,2580,0,45,0
59,2,9,2,2,0,1,0,0,45,0
34,2,9,4,13,1,1,0,0,80,0
30,0,9,2,1,2,1,0,0,48,0
26,2,9,2,2,0,1,0,0,40,0
52,2,9,2,6,0,1,0,0,40,0
43,2,13,2,9,0,1,0,0,42,1
30,2,4,2,4,0,1,0,0,40,0
51,2,10,0,11,4,0,0,0,50,0
67,4,9,2,4,0,1,0,0,25,0
56,2,13,2,2,0,1,0,0,40,0
25,2,12,4,11,3,0,0,0,40,0
34,2,12,2,0,5,0,0,0,40,1
29,1,13,4,5,3,1,0,0,40,0
23,2,9,4,5,3,1,0,0,40,0
38,2,9,5,7,4,0,0,0,32,0
26,2,10,0,9,1,0,5060,0,40,0
51,1,12,4,0,1,1,0,0,38,0
59,0,14,4,3,1,1,0,0,40,0
22,2,10,4,2,4,1,0,0,40,0
50,2,13,2,3,0,1,7298,0,65,1
27,2,3,4,11,3,0,0,0,20,0
44,2,10,2,5,0,1,0,0,60,0
38,2,10,2,9,5,0,0,0,40,0
29,0,10,4,5,3,1,0,0,44,0
38,2,13,4,0,1,0,0,0,50,0
27,2,10,4,7,3,1,0,1721,20,0
30,2,5,2,2,0,1,0,0,40,0
55,3,9,2,11,0,1,0,1573,44,0
39,0,10,2,0,0,1,0,0,40,1
23,2,9,2,6,0,1,0,0,50,0
43,2,9,4,7,4,0,0,0,40,0
30,2,9,4,6,2,1,0,0,40,0
59,2,15,2,13,0,1,15024,0,50,1
71,2,13,0,0,1,0,0,0,3,0
19,2,10,4,0,3,1,0,0,20,0
29,2,9,2,2,0,1,0,0,40,0
36,2,9,0,2,1,1,0,0,30,0
46,3,14,2,3,0,1,0,0,60,1
55,2,16,2,3,0,1,0,0,80,1
44,2,15,2,9,0,1,0,0,50,1
36,5,14,2,9,0,1,0,0,40,1
30,2,7,4,5,2,1,0,1721,38,0
62,4,9,6,0,2,0,0,0,30,0
30,5,9,1,0,3,0,0,0,38,0
22,2,9,4,11,3,0,1055,0,25,0
20,2,5,4,8,3,1,0,0,40,0
24,2,13,2,3,5,0,0,0,40,0
27,2,10,2,5,0,1,0,0,30,0
57,4,10,0,13,1,1,0,0,40,0
48,2,10,2,11,0,1,0,0,40,1
42,5,9,2,6,0,1,0,0,40,0
21,2,10,4,11,3,0,0,0,8,0
46,3,9,2,10,0,1,0,0,70,0
42,2,13,2,0,5,0,0,0,40,0
50,2,9,0,2,1,0,0,0,45,0
35,3,9,2,7,0,1,0,0,50,0
38,2,9,2,2,0,1,0,0,40,1
34,2,13,4,3,1,0,4650,0,50,0
28,4,10,2,9,0,1,0,0,7,0
44,2,12,2,11,0,1,0,0,40,0
53,1,10,2,10,0,1,4386,0,40,1
26,2,9,0,2,1,1,0,0,40,0
32,2,10,2,10,0,1,0,0,46,0
38,2,13,0,12,2,1,0,0,40,0
43,2,9,2,11,0,1,7688,0,60,1
35,2,13,2,3,0,1,15024,0,50,1
41,2,9,4,6,1,1,0,0,40,0
46,2,11,2,2,0,1,0,0,40,0
26,0,13,4,9,1,1,0,0,55,0
25,2,13,4,9,1,1,0,0,43,0
43,5,15,2,9,0,1,0,1977,70,1
51,5,9,2,2,0,1,0,0,56,1
24,2,9,4,9,3,0,0,0,45,0
53,0,12,2,9,0,1,0,0,80,1
43,2,13,2,11,0,1,0,0,50,0
24,2,9,2,7,0,1,0,0,39,0
48,2,7,2,13,0,1,0,2002,40,0
46,1,13,2,10,0,1,15024,0,40,1
62,2,9,2,2,0,1,0,0,40,0
35,2,13,2,11,0,1,0,0,40,1
19,2,10,4,7,3,1,0,0,3,0
62,1,5,0,10,1,1,0,0,24,0
57,2,9,2,6,0,1,0,0,40,1
59,2,10,0,7,1,1,0,0,40,0
38,2,13,2,11,5,0,0,0,8,1
27,2,11,2,4,0,1,0,0,40,0
19,2,9,4,5,3,1,0,0,40,0
64,3,15,2,9,0,1,99999,0,35,1
19,5,10,4,0,2,0,0,0,15,0
29,1,10,2,10,0,1,0,1485,40,1
44,2,7,5,7,4,0,0,0,30,0
48,2,8,2,3,0,1,0,0,50,0
67,2,14,4,9,1,1,0,0,99,0
26,2,9,2,11,0,1,2885,0,40,0
31,2,9,2,13,0,1,0,0,60,1
21,2,9,4,2,1,1,0,0,40,0
18,2,8,4,5,3,1,0,0,18,0
40,2,9,2,13,0,1,0,0,40,1
32,0,13,2,0,0,1,0,0,35,1
67,3,13,2,11,0,1,0,2174,40,1
23,2,11,4,0,1,1,0,0,50,0
20,2,10,4,11,1,1,0,0,50,0
28,2,13,2,7,0,1,0,0,50,0
36,4,9,2,4,0,1,0,0,50,1
36,2,9,0,2,1,1,0,0,40,0
42,2,10,4,5,4,0,0,625,40,0
68,2,13,2,9,0,1,0,0,40,1
41,2,9,2,7,0,1,0,0,40,0
55,2,9,2,3,0,1,0,0,45,0
37,2,12,2,3,0,1,7688,0,50,1
45,2,10,2,11,0,1,0,0,65,1
30,2,9,4,11,4,0,0,0,25,0
40,2,6,0,2,1,1,0,0,50,0
47,2,9,0,12,1,0,0,0,36,0
20,2,10,4,11,1,0,0,0,20,0
21,2,11,4,7,3,0,0,0,40,0
44,2,9,2,6,0,1,0,0,40,0
59,2,9,2,8,5,0,0,0,15,0
34,2,10,2,2,0,1,0,0,40,1
63,5,15,2,9,0,1,0,0,40,1
25,2,10,2,9,0,1,0,0,45,0
29,2,12,4,9,1,0,8614,0,40,1
44,2,10,2,6,0,1,0,0,44,0
25,2,9,4,13,1,1,0,0,40,0
37,4,10,0,3,4,0,0,0,40,0
33,2,13,2,11,0,1,0,0,50,0
29,2,10,4,2,4,1,0,0,40,0
39,2,12,4,13,1,1,0,0,60,0
28,5,13,2,10,0,1,0,0,50,0
47,4,3,2,11,0,1,0,0,55,1
23,2,9,0,11,1,1,0,0,40,0
41,2,13,2,9,0,1,0,1887,40,1
49,2,6,4,7,4,0,0,0,38,0
46,2,6,2,5,0,1,0,0,40,0
37,2,10,4,5,3,1,0,0,40,0
51,2,10,2,9,5,0,0,0,40,1
50,4,15,2,9,0,1,99999,0,80,1
39,2,10,0,0,1,0,0,0,40,0
55,2,5,2,11,0,1,0,0,45,0
46,2,11,2,9,0,1,0,0,60,0
45,2,9,2,3,0,1,0,0,60,1
36,2,9,4,5,3,1,0,0,40,0
49,2,9,2,11,0,1,0,1887,45,1
30,2,9,2,0,0,1,0,0,50,0
18,2,6,4,7,3,0,0,0,12,0
26,2,9,4,10,1,0,0,0,32,0
24,2,10,4,7,3,1,0,0,30,0
49,3,13,0,9,4,1,6497,0,45,0
35,2,9,2,3,0,1,0,0,45,0
48,2,10,0,0,4,0,0,0,40,0
43,5,15,2,9,0,1,0,0,40,0
34,3,10,2,4,0,1,0,0,72,0
32,2,10,2,3,0,1,0,0,60,1
43,5,13,2,9,5,0,0,0,40,1
19,2,10,4,11,3,0,0,0,20,0
49,2,9,2,2,0,1,3103,0,45,1
48,2,13,2,3,0,1,7688,0,65,1
56,2,5,2,7,5,0,4508,0,28,0
55,2,9,2,7,0,1,0,0,40,0
26,2,9,2,3,0,1,0,0,40,0
35,2,9,2,13,0,1,0,0,65,0
22,2,9,4,11,4,1,0,0,20,0
43,2,13,2,6,0,1,0,0,40,0
45,0,13,2,0,0,1,0,0,45,1
46,0,13,2,12,0,1,3103,0,40,1
32,4,13,2,9,0,1,0,0,50,1
38,2,13,2,0,0,1,7298,0,50,1
42,3,14,0,3,4,1,0,2201,60,1
39,2,9,5,3,1,1,0,2258,70,0
29,2,10,2,0,5,0,0,0,40,1
46,2,3,0,2,1,0,0,2339,45,0
22,1,9,4,4,3,1,0,0,20,0
38,4,13,4,7,3,0,0,0,20,0
50,2,11,2,11,0,1,0,0,50,1
44,2,13,2,9,0,1,7688,0,40,1
20,2,10,4,2,3,1,0,0,40,0
30,2,13,4,11,1,0,0,0,40,0
21,2,9,4,0,1,0,0,0,40,0
37,2,12,4,0,1,0,0,0,40,0
63,1,13,2,9,0,1,0,0,40,1
45,2,13,2,11,0,1,0,1887,60,1
30,2,13,4,11,1,1,0,0,40,0
38,2,10,0,0,4,0,0,0,40,0
36,2,12,2,12,0,1,0,0,40,1
19,2,9,4,11,3,1,0,0,35,0
40,1,11,2,10,0,1,0,0,40,1
23,2,13,4,11,1,0,0,0,40,0
51,2,9,2,11,0,1,0,1977,50,1
34,1,14,0,9,1,0,0,0,50,0
45,1,14,2,9,5,0,0,0,50,1
44,4,9,2,3,0,1,0,1977,45,1
33,2,13,2,9,0,1,15024,0,50,1
43,2,10,2,11,0,1,0,0,50,1
55,2,10,0,6,1,0,0,0,40,0
24,0,10,4,1,1,1,0,0,40,0
18,2,9,4,11,3,0,0,0,28,0
29,2,10,0,5,1,1,2174,0,40,0
32,2,9,2,5,0,1,0,0,38,1
25,1,13,4,9,3,0,0,0,40,0
36,2,9,2,2,0,1,0,0,40,1
50,2,10,4,7,1,1,0,0,32,0
54,1,14,4,9,1,0,0,0,32,1
36,2,13,2,11,0,1,0,1902,40,1
53,2,13,2,3,0,1,0,0,45,1
49,4,4,2,4,0,1,0,0,50,0
44,2,14,2,9,0,1,0,0,45,1
31,3,9,2,3,0,1,0,0,40,1
35,3,10,2,11,0,1,0,0,60,1
28,2,9,4,7,4,0,0,0,40,0
28,2,10,2,13,0,1,0,0,45,0
23,2,10,2,13,0,1,0,0,60,1
26,2,11,2,0,5,0,0,0,40,1
35,2,13,4,0,1,0,0,0,43,0
28,2,10,2,5,0,1,0,0,40,0
60,0,9,0,3,1,1,10520,0,40,1
23,2,13,4,9,1,0,0,0,40,0
53,5,12,0,0,4,0,0,0,40,0
29,4,9,4,13,4,1,0,0,45,0
33,2,9,2,6,5,0,0,0,40,0
52,2,6,2,13,0,1,0,0,30,1
32,2,9,4,5,1,0,0,0,45,0
32,2,9,2,6,0,1,0,0,40,1
20,2,10,4,7,3,0,0,0,35,0
36,2,7,4,10,1,1,13550,0,40,1
32,2,2,4,4,1,1,0,0,50,0
67,3,8,2,3,0,1,0,0,20,0
45,2,9,5,7,1,0,0,0,35,0
18,2,10,4,7,3,0,0,0,32,0
35,0,10,4,7,4,0,0,0,40,0
59,2,9,2,2,0,1,0,0,40,1
32,2,13,4,3,1,0,0,0,60,0
66,2,13,2,9,0,1,10605,0,40,1
26,2,10,4,5,1,1,0,0,30,0
28,2,10,2,3,0,1,0,0,40,1
20,2,12,4,0,3,0,0,0,15,0
24,2,12,4,9,3,1,0,0,40,0
44,2,9,2,13,0,1,0,0,65,1
23,2,9,4,11,1,0,0,0,40,0
39,3,11,2,2,0,1,0,0,40,0
53,2,9,2,4,0,1,0,0,45,0
43,1,10,2,12,0,1,4386,0,99,1
36,4,9,2,3,0,1,41310,0,90,0
37,2,10,2,2,0,1,0,0,35,1
49,3,10,2,3,5,0,0,1977,60,1
28,2,11,4,3,1,1,0,0,60,1
35,0,9,4,0,3,1,0,0,40,0
29,2,7,4,7,4,0,0,0,40,0
27,2,4,0,6,4,1,0,974,40,0
34,2,5,5,0,4,0,0,0,38,0
30,2,9,2,7,2,0,0,0,40,0
20,2,10,4,7,1,0,0,0,20,0
22,2,13,4,9,1,1,0,0,50,0
17,2,7,4,5,3,1,0,0,25,0
44,2,8,2,13,0,1,0,0,40,0
26,2,10,4,6,1,0,0,0,38,0
47,3,13,2,11,0,1,15024,0,60,1
55,2,9,2,11,0,1,0,0,56,1
20,2,9,4,4,2,1,0,0,40,0
45,2,9,4,11,1,0,0,0,20,0
46,5,9,0,0,4,0,0,0,40,0
40,5,13,0,9,1,1,0,0,40,0
41,2,11,5,2,1,1,0,0,30,0
22,2,9,2,13,2,1,0,0,80,0
34,2,10,4,7,3,0,0,0,35,0
23,2,13,4,5,1,1,0,0,40,0
37,2,10,4,7,4,0,0,0,40,0
43,2,10,3,11,1,1,0,0,45,0
43,2,13,2,3,0,1,0,1902,50,1
51,4,9,0,3,1,0,99999,0,60,1
35,2,13,2,3,0,1,0,1887,50,1
44,2,9,2,2,0,1,0,0,60,0
36,2,13,2,9,0,1,0,0,55,1
29,5,6,4,7,3,0,0,0,40,0
58,3,9,4,11,1,1,0,0,47,0
20,2,10,4,5,2,1,0,0,20,0
53,2,13,2,11,0,1,0,0,30,0
23,2,10,4,7,3,0,0,0,15,0
45,5,13,2,0,0,1,7688,0,40,1
23,2,10,4,11,1,0,0,0,40,0
20,2,10,4,7,3,1,0,0,30,0
45,2,12,0,9,4,0,0,0,43,0
48,2,15,0,9,4,0,0,0,25,0
43,2,4,0,7,4,0,0,0,40,0
32,2,7,4,2,1,1,0,0,40,0
20,5,10,4,0,3,1,0,0,40,0
29,2,9,0,7,4,0,0,0,45,0
23,2,7,5,7,4,0,0,0,40,0
31,2,10,4,3,3,1,0,0,40,0
42,2,13,4,11,4,1,0,0,40,0
28,2,4,5,6,4,0,0,0,40,0
27,2,9,4,2,1,1,3325,0,40,0
56,2,9,0,0,4,0,0,1617,40,0
39,2,13,5,11,1,1,0,0,50,0
39,2,9,0,4,1,0,0,0,40,0
47,2,14,2,0,0,1,0,0,40,0
38,1,13,2,2,0,1,0,0,40,0
44,2,9,2,2,0,1,0,0,40,0
22,2,9,4,5,3,1,0,0,40,0
21,2,10,4,5,3,1,0,0,22,0
23,2,9,4,11,3,1,0,0,40,0
29,2,10,0,7,3,1,594,0,24,0
18,2,7,4,11,3,0,0,0,8,0
33,2,10,4,0,1,0,0,0,40,0
23,2,10,0,11,3,0,0,0,40,0
58,4,10,0,11,1,0,0,0,40,0
32,1,9,2,2,0,1,0,0,40,1
53,2,7,2,2,0,1,0,0,40,0
36,2,11,4,9,4,0,0,0,38,0
43,4,9,2,3,0,1,0,0,50,0
36,2,9,4,11,3,0,0,0,40,0
38,2,13,2,3,0,1,0,0,50,1
56,2,9,2,4,0,1,0,0,20,0
41,0,9,2,0,0,1,5178,0,40,1
47,2,9,2,13,0,1,0,0,35,0
28,2,16,4,0,3,1,0,0,18,0
57,2,11,0,6,1,1,0,0,40,0
21,2,10,4,7,3,0,0,0,40,0
40,2,9,2,2,0,1,0,0,40,1
66,2,9,2,13,0,1,0,0,16,0
36,2,10,5,13,1,1,0,0,40,0
23,2,9,4,2,1,1,0,0,40,0
49,2,5,0,6,1,0,0,0,40,0
22,5,10,4,0,1,0,0,0,8,0
58,2,4,0,6,3,1,0,0,40,0
41,5,13,2,9,5,0,0,0,48,1
41,4,13,0,3,1,0,0,0,40,0
60,2,7,2,2,0,1,0,0,40,0
23,2,7,4,4,2,0,0,0,40,0
53,2,9,2,5,0,1,0,0,52,1
63,2,3,6,7,2,0,0,0,19,0
35,0,14,4,3,1,1,8614,0,40,1
21,2,10,4,7,3,0,0,0,37,0
23,2,10,4,13,1,1,0,0,60,0
21,2,10,4,0,1,0,0,0,40,0
36,2,10,4,7,3,1,0,0,45,0
33,5,9,2,7,0,1,0,0,40,0
24,2,6,2,7,0,1,0,0,40,0
28,2,9,4,13,4,1,0,0,55,0
29,2,9,0,7,1,0,0,0,30,0
43,2,12,2,7,0,1,0,0,40,0
31,2,10,0,2,4,0,0,0,20,0
19,2,9,4,10,2,1,0,0,40,0
52,0,6,5,0,4,0,0,0,40,0
51,2,9,2,6,0,1,0,0,45,0
45,2,13,2,2,0,1,7298,0,55,1
33,1,13,2,10,0,1,0,0,70,1
27,2,9,0,0,2,0,0,0,40,0
27,2,6,5,6,3,1,0,0,35,0
34,2,14,2,9,0,1,0,0,55,0
51,2,11,2,7,0,1,4064,0,55,0
69,2,9,6,12,4,0,0,0,8,0
33,2,15,2,9,0,1,0,0,35,0
53,2,13,2,9,0,1,0,0,72,1
46,3,5,2,0,5,0,0,0,50,0
21,2,5,4,7,3,1,0,0,40,0
27,2,12,2,0,5,0,0,0,25,0
17,2,6,4,7,3,0,0,0,6,0
50,0,13,0,9,4,0,0,0,40,0
42,2,7,2,13,0,1,0,0,47,0
42,3,13,4,9,1,1,0,0,40,0
53,2,9,0,3,1,0,0,0,40,0
39,2,14,4,11,1,1,0,0,50,1
43,3,14,2,3,0,1,0,0,60,1
42,2,10,0,6,1,1,0,1590,40,0
47,2,10,0,3,4,0,0,0,40,0
55,5,10,0,13,1,1,0,0,40,0
30,5,14,2,9,0,1,0,0,20,0
39,0,10,2,0,0,1,0,0,48,0
26,2,10,4,0,1,0,0,0,20,0
28,2,2,4,6,1,0,0,0,40,0
31,2,10,0,7,3,0,0,0,20,0
49,4,9,2,2,0,1,0,0,40,0
47,5,9,2,7,0,1,0,0,40,0
27,4,13,4,9,3,0,0,0,40,0
36,5,5,2,2,0,1,0,0,40,0
55,1,13,2,9,0,1,0,0,40,1
30,4,9,2,9,0,1,0,0,25,0
69,2,12,2,3,0,1,0,0,24,0
19,2,9,4,7,1,0,0,0,35,0
28,2,9,2,11,0,1,0,0,55,0
32,2,13,2,11,0,1,0,0,60,1
41,2,9,4,0,1,0,0,0,40,0
21,2,13,4,9,1,1,0,0,40,1
34,4,7,2,4,0,1,0,0,72,0
35,2,9,2,11,0,1,0,1902,40,1
34,2,9,4,13,1,1,0,0,70,0
26,2,6,4,2,1,1,0,0,40,0
41,2,10,4,5,1,1,0,0,40,0
38,4,10,2,4,0,1,0,0,35,0
43,2,10,2,11,0,1,0,0,72,1
24,2,9,5,7,4,0,0,0,40,0
29,2,10,0,7,1,0,0,0,35,0
63,4,15,2,9,0,1,15024,0,50,1
51,2,9,2,2,0,1,0,0,20,0
34,2,13,2,11,0,1,0,0,50,0
